strategy,total_return_pct,sharpe_ratio,win_rate,max_drawdown_pct
MACross_10_30_F5,91.89616806123732,0.12902275584463213,40.77861116508226,-54.826316802513595
MACross_20_60_F5,64.07260687786334,0.11858299474162041,41.992415616945195,-53.66225954036489
TrendFilter_MA100_F10,111.58312856226166,0.11851175030733856,32.08727352923838,-55.688035137300744
DualMom_20_60_F10,74.6036397944614,0.0944266299504404,34.02141560064514,-53.042315945523896
DualMom_10_30_F5,69.90706539978993,0.09002819756340967,37.754354670740064,-53.02509838562513
Momentum_20_F10,75.28053153015516,0.06641874307693454,35.10759783836166,-60.79063315313189
TrendFilter_MA50_F5,71.60357641523157,0.026984374865869992,35.52255468126296,-60.265713305322514
Momentum_10_F5,50.28565635970181,-0.007813049063291232,37.597638132710294,-62.22316025177412
Breakout_50_F10,7.100388198811783,-0.08791876900453716,40.462006056579874,-22.767309907383485
RSI_14_30_F5,-3.6083779130501057,-0.09334734956704668,53.2874386889058,-27.75547628066639
Breakout_20_F5,7.460816310233123,-0.13287551357490252,40.70598759802295,-32.77154629965943
RSI_7_25_F10,-16.061412299088033,-0.18668611950758796,55.44355917647119,-29.169286847658697
ForeignRatioMA_20,0.6651495038280201,-0.40844934413623524,40.39609180564127,-74.59366367173182
ForeignRatioMA_10,16.774996783732398,-0.46752279187467694,40.50988300237058,-76.80035741365835
VolBreak_0.6_F5,-49.51077750511894,-0.6905989385643443,42.883961118906015,-63.260141994785
VolBreak_0.5_F3,-40.41090640814836,-0.7248481675521703,42.81270064722352,-67.63101126286355
