ticker,name,strategy,total_return_pct,cagr_pct,max_drawdown_pct,sharpe_ratio,win_rate,consistency,score
247540,에코프로비엠,Breakout_50_F10,167.05267729988236,15.287475578999675,-9.275322170889366,1.1036450743269208,55.55555555555556,1.0,1.1036450743269208
247540,에코프로비엠,Breakout_20_F5,217.3957146050342,18.207393686617344,-17.507063637925253,0.985138526727671,50.0,1.0,0.985138526727671
086520,에코프로,DualMom_10_30_F5,507.826690050175,25.047631287669738,-49.16405074535111,0.8304428211091638,42.62295081967213,1.0,0.8304428211091638
042700,한미반도체,TrendFilter_MA100_F10,816.8461186102453,31.578748293090307,-29.81207289690029,0.9847121609327606,50.602409638554214,0.75,0.7385341206995705
042700,한미반도체,Momentum_20_F10,766.2257779865029,30.656436955982215,-23.146397397411153,0.9756396799340014,46.666666666666664,0.75,0.731729759950501
042700,한미반도체,Breakout_50_F10,76.84961040609157,7.316658456464897,-13.046486418492858,0.7039005420877616,63.888888888888886,1.0,0.7039005420877616
051910,LG화학,RSI_14_30_F5,47.03625611425043,4.890569799502087,-5.533402351250003,0.8857802824367516,76.92307692307693,0.75,0.6643352118275636
042700,한미반도체,DualMom_20_60_F10,399.7886441109125,22.053030718281864,-28.767806432338933,0.8181069738222603,44.70588235294118,0.75,0.6135802303666952
035720,카카오,Momentum_10_F5,118.8980332765959,10.189659412714192,-31.214526204451232,0.5704422128151256,43.38235294117647,1.0,0.5704422128151256
042700,한미반도체,VolBreak_0.5_F3,145.1940875039706,11.748826769295984,-38.310680487489144,0.5717417856865719,44.71153846153847,0.75,0.4288063392649289
068270,셀트리온제약,RSI_14_30_F5,44.76937738641578,4.688915521738601,-10.561756900746609,0.5559243710330158,58.620689655172406,0.75,0.41694327827476185
042700,한미반도체,DualMom_10_30_F5,153.43932207017508,12.207538116339233,-32.87065213578148,0.5330949443258918,41.52542372881356,0.75,0.3998212082444188
042700,한미반도체,Momentum_10_F5,150.8444253066576,12.064602760186126,-41.762961029831324,0.5183010093704711,41.49659863945578,0.75,0.3887257570278533
035720,카카오,Breakout_50_F10,36.85099666912988,3.9621053370897608,-13.44484676965522,0.5131314292248159,46.51162790697674,0.75,0.38484857191861194
