strategy,ticker,name,total_return_pct,final_capital,num_trades,win_rate,max_drawdown
VolBreak_0.5_3,000660,SK하이닉스,51.307147300002754,151307147.30000275,226,46.017699115044245,-24.746581748992746
Voting_5,000660,SK하이닉스,50.408111600001924,150408111.60000193,139,48.201438848920866,-22.986205290784458
VolBreak_0.4_3,000660,SK하이닉스,50.23065930000323,150230659.30000323,256,44.921875,-25.117116143512703
Breakout_20_5,035720,카카오,49.75739657400104,149757396.57400104,72,45.83333333333333,-12.970510977999924
VolBreak_0.6_5,086520,에코프로,49.69699641200173,149696996.41200173,209,48.803827751196174,-52.70921466064189
Voting_5,005930,삼성전자,49.47856817000139,149478568.1700014,117,47.863247863247864,-15.536648947733797
Breakout_20_5,005930,삼성전자,49.32892015000087,149328920.15000087,73,56.16438356164384,-6.089621787500602
MultiFactor_532_60,207940,삼성바이오로직스,49.05978285200149,149059782.8520015,110,31.818181818181817,-41.14153686998676
MultiFactor_532_60,000660,SK하이닉스,47.41852200000119,147418522.0000012,106,29.245283018867923,-48.27960160171986
MomQuality_20_10,035720,카카오,46.07501489800137,146075014.89800137,78,29.48717948717949,-61.629389369472264
Voting_5,373220,LG에너지솔루션,45.742398000000776,145742398.00000077,54,48.148148148148145,-21.27994198049357
MeanRev_20_2,042700,한미반도체,41.87272341000045,141872723.41000044,26,76.92307692307693,-17.137581565879707
Adaptive_40,005930,삼성전자,40.354566500000836,140354566.50000083,82,31.70731707317073,-25.258238849999277
MeanRev_20_2.5,042700,한미반도체,38.858442410000144,138858442.41000015,7,100.0,-0.09570822829365346
Adaptive_30,000660,SK하이닉스,38.19595000000089,138195950.0000009,88,28.40909090909091,-39.75164975425988
Adaptive_30,035720,카카오,36.94752762400124,136947527.62400123,72,36.11111111111111,-46.01085583791725
Voting_4,005930,삼성전자,36.594002460001114,136594002.4600011,111,36.93693693693694,-27.572902144153954
MomQuality_20_10,005380,현대차,35.76672240000105,135766722.40000105,76,32.89473684210527,-44.69950119427769
Breakout_20_5,196170,알테오젠,35.53870023400092,135538700.23400092,72,38.88888888888889,-34.28184205977032
Breakout_50_10,006400,삼성SDI,32.86751197100039,132867511.97100039,38,34.21052631578947,-12.15463651099989
Breakout_20_5,005380,현대차,32.569111800000755,132569111.80000076,52,46.15384615384615,-8.32102730811128
Breakout_20_5,006400,삼성SDI,29.92000907200085,129920009.07200085,70,37.142857142857146,-24.62937432808236
Breakout_20_5,000660,SK하이닉스,29.815653000000985,129815653.00000098,77,41.55844155844156,-24.211906893502906
VolBreak_0.6_5,247540,에코프로비엠,29.56976995600213,129569769.95600213,192,51.5625,-29.986591490192954
Breakout_50_10,196170,알테오젠,29.370225236000643,129370225.23600064,48,47.91666666666667,-27.85528170728596
Adaptive_30,005930,삼성전자,23.967484800000875,123967484.80000088,82,31.70731707317073,-24.81004842073792
Voting_5,207940,삼성바이오로직스,22.40841218100138,122408412.18100138,122,42.62295081967213,-30.666532821121507
Voting_3,051910,LG화학,21.10013670000185,121100136.70000185,118,33.89830508474576,-66.48712086347058
MomQuality_10_5,005930,삼성전자,19.265553860001205,119265553.8600012,113,30.08849557522124,-49.527812846514344
Breakout_20_5,068270,셀트리온제약,18.567253642000644,118567253.64200065,54,50.0,-17.325706568268124
VolBreak_0.6_5,005930,삼성전자,17.893017160001783,117893017.16000178,165,56.36363636363636,-20.35560304788095
Breakout_10_3,005930,삼성전자,17.73105100000115,117731051.00000115,106,48.113207547169814,-12.582527364732746
Breakout_50_10,005930,삼성전자,17.270518500000478,117270518.50000048,48,54.166666666666664,-7.199681899999902
MomQuality_10_5,005380,현대차,16.936961700001778,116936961.70000178,133,33.08270676691729,-42.69693146255815
Voting_5,035720,카카오,16.239426610001324,116239426.61000133,112,46.42857142857143,-23.431949012306717
Adaptive_40,373220,LG에너지솔루션,15.36240000000076,115362400.00000076,42,28.57142857142857,-34.18823549302243
Breakout_50_10,086520,에코프로,13.137080785000501,113137080.7850005,45,35.55555555555556,-34.822980937338095
Voting_3,028300,HLB,13.116251208001941,113116251.20800194,166,34.93975903614458,-83.49344034069753
Voting_5,293490,카카오게임즈,11.323497350000784,111323497.35000078,59,49.152542372881356,-25.992366626491897
MomQuality_20_10,207940,삼성바이오로직스,10.191624578001038,110191624.57800104,100,32.0,-48.81211044787381
MeanRev_20_2.5,196170,알테오젠,8.565200160000042,108565200.16000004,4,50.0,-10.752657634999975
MeanRev_20_2.5,086520,에코프로,8.356563253000097,108356563.2530001,8,62.5,-9.303726806999967
Breakout_50_10,005380,현대차,7.568640500000477,107568640.50000048,33,39.39393939393939,-8.70907862200781
MeanRev_20_2,086520,에코프로,7.319821967000246,107319821.96700025,23,52.17391304347826,-9.064127560576344
Voting_5,028300,HLB,7.281188483000889,107281188.48300089,95,45.26315789473684,-62.70501740109461
Breakout_10_3,068270,셀트리온제약,7.2783188750007,107278318.8750007,76,47.368421052631575,-30.559950697256756
Adaptive_30,051910,LG화학,7.047286000000804,107047286.0000008,61,32.78688524590164,-55.938194809493005
MeanRev_20_2,000660,SK하이닉스,5.67601740000011,105676017.40000011,7,42.857142857142854,-4.70406677753835
MeanRev_20_2,005380,현대차,5.100239500000193,105100239.5000002,13,61.53846153846154,-4.592310699821143
MeanRev_20_2,207940,삼성바이오로직스,4.907168948000282,104907168.94800028,25,64.0,-8.601185259247906
MultiFactor_334_40,207940,삼성바이오로직스,4.854641042001292,104854641.04200129,102,19.607843137254903,-49.80408587714255
VolBreak_0.4_3,207940,삼성바이오로직스,4.440487645003051,104440487.64500305,256,42.96875,-45.592998863948516
MomQuality_20_10,005930,삼성전자,4.386829460000858,104386829.46000086,82,23.170731707317074,-51.226459818372895
VolBreak_0.4_3,247540,에코프로비엠,3.6737762870026676,103673776.28700267,243,51.85185185185185,-47.551245236412626
Breakout_20_5,051910,LG화학,2.1629770000008044,102162977.0000008,54,42.592592592592595,-21.360511072860145
MeanRev_20_2.5,247540,에코프로비엠,2.054465704000056,102054465.70400006,5,40.0,-2.8701429839999824
Breakout_10_3,005380,현대차,1.824118000001088,101824118.00000109,78,37.17948717948718,-20.70677950044189
MomQuality_10_5,051910,LG화학,1.6378928000016213,101637892.80000162,118,33.89830508474576,-48.01150927788059
VolBreak_0.5_3,207940,삼성바이오로직스,1.623871987002969,101623871.98700297,234,44.01709401709402,-41.26417190538723
MeanRev_20_2.5,207940,삼성바이오로직스,1.3847111960000993,101384711.1960001,8,75.0,-3.024659277087533
Breakout_50_10,000660,SK하이닉스,1.3121795000006407,101312179.50000064,49,36.734693877551024,-19.311389399999708
MeanRev_20_2.5,005380,현대차,0.9832900000000894,100983290.00000009,7,57.14285714285714,-3.17491986911897
VolBreak_0.6_5,207940,삼성바이오로직스,0.6851860330022126,100685186.03300221,192,44.79166666666667,-38.78821630244082
VolBreak_0.5_3,247540,에코프로비엠,0.674335397002399,100674335.3970024,222,52.25225225225225,-40.855122994502736
MeanRev_20_2.5,068270,셀트리온제약,0.5669474960001112,100566947.49600011,8,37.5,-6.246355650179047
MeanRev_20_2,251270,넷마블,0.0720897000001967,100072089.7000002,17,41.17647058823529,-7.58590899999997
MultiFactor_532_60,005930,삼성전자,0.062165470000758775,100062165.47000076,79,26.582278481012654,-45.512664423333646
MeanRev_20_2.5,000660,SK하이닉스,0.0,100000000.0,0,0.0,0.0
MeanRev_20_2.5,005930,삼성전자,0.0,100000000.0,0,0.0,0.0
MeanRev_20_2.5,373220,LG에너지솔루션,-0.0938339999999702,99906166.00000003,2,50.0,-2.579127999999985
MeanRev_20_2.5,293490,카카오게임즈,-0.5290792799999415,99470920.72000006,4,50.0,-1.2887982972719938
MeanRev_20_2,293490,카카오게임즈,-0.8130269899998308,99186973.01000017,17,41.17647058823529,-6.963806849999904
VolBreak_0.5_3,005930,삼성전자,-1.1770342999977916,98822965.70000221,197,50.76142131979695,-18.85403219554875
MeanRev_20_2.5,006400,삼성SDI,-1.3943265899999886,98605673.41000001,2,50.0,-2.7582609016665427
MeanRev_20_2.5,051910,LG화학,-1.4866014999999702,98513398.50000003,2,50.0,-2.1011205979172107
Breakout_50_10,028300,HLB,-1.4927469739996047,98507253.0260004,33,45.45454545454545,-24.365700717698687
MeanRev_20_2.5,251270,넷마블,-2.1468494999999703,97853150.50000003,2,0.0,-2.1468494999999703
MeanRev_20_2.5,263750,펄어비스,-2.8351197199999243,97164880.28000008,6,33.33333333333333,-8.998087419067827
MultiFactor_443_50,207940,삼성바이오로직스,-2.899577773998886,97100422.22600111,110,24.545454545454547,-47.51558719341686
Breakout_10_3,006400,삼성SDI,-3.291581869998917,96708418.13000108,100,36.0,-26.79595118831266
Voting_4,051910,LG화학,-3.6280454999981373,96371954.50000186,119,30.252100840336134,-61.23615424242889
MultiFactor_532_60,051910,LG화학,-3.795988099998817,96204011.90000118,83,31.32530120481928,-58.16117279905527
MeanRev_20_2,373220,LG에너지솔루션,-4.213192999999851,95786807.00000015,10,50.0,-7.282730499999896
Adaptive_30,373220,LG에너지솔루션,-5.2554669999995385,94744533.00000046,31,22.58064516129032,-30.292561908690764
MeanRev_20_2.5,035720,카카오,-5.714756503999949,94285243.49600005,4,25.0,-5.714756503999949
Breakout_50_10,207940,삼성바이오로직스,-5.839481160999462,94160518.83900054,48,35.41666666666667,-20.693169530958023
MeanRev_20_2,051910,LG화학,-6.039062499999806,93960937.5000002,13,53.84615384615385,-10.20934491105814
Breakout_50_10,068270,셀트리온제약,-6.412889042999789,93587110.95700021,26,57.692307692307686,-14.592025692999943
Breakout_50_10,051910,LG화학,-6.460450999999508,93539549.00000049,33,45.45454545454545,-17.45502337399662
MeanRev_20_2,005930,삼성전자,-6.755769499999969,93244230.50000003,3,0.0,-6.755769499999969
Breakout_10_3,051910,LG화학,-6.9281134999987035,93071886.5000013,87,40.229885057471265,-27.374024547295505
MeanRev_20_2,006400,삼성SDI,-7.584347173999846,92415652.82600015,16,43.75,-15.425544470663697
MeanRev_20_2,035720,카카오,-9.004872952999815,90995127.04700018,18,44.44444444444444,-12.199524632329663
Breakout_50_10,373220,LG에너지솔루션,-9.106287499999686,90893712.50000031,21,47.61904761904761,-13.603141188857759
MeanRev_20_2,068270,셀트리온제약,-10.170753429999754,89829246.57000025,24,45.83333333333333,-13.93438483559774
VolBreak_0.6_5,035720,카카오,-10.338571628997922,89661428.37100208,184,42.391304347826086,-42.82201519556684
MeanRev_20_2,196170,알테오젠,-10.985659073999807,89014340.9260002,20,45.0,-22.67075156599988
Breakout_50_10,251270,넷마블,-11.29684319999975,88703156.80000025,18,38.88888888888889,-23.63106989014298
MomQuality_20_10,051910,LG화학,-11.675687499999002,88324312.500001,71,33.80281690140845,-68.68899538311697
MeanRev_20_2,247540,에코프로비엠,-11.802065692999749,88197934.30700025,21,52.38095238095239,-14.466738478584308
VolBreak_0.6_5,000660,SK하이닉스,-12.716281399997845,87283718.60000215,174,44.252873563218394,-32.47660774574774
MomQuality_20_10,006400,삼성SDI,-13.83912452099912,86160875.47900088,76,23.684210526315788,-74.38071457108356
MeanRev_20_2.5,028300,HLB,-14.106997611999958,85893002.38800004,6,50.0,-32.183167812707374
MeanRev_20_2,263750,펄어비스,-14.55339522999978,85446604.77000022,22,40.909090909090914,-22.65788354220059
Breakout_20_5,028300,HLB,-14.631156499999404,85368843.5000006,57,43.859649122807014,-44.74417909623828
Voting_5,051910,LG화학,-14.758236499998734,85241763.50000127,85,38.82352941176471,-36.76360950001196
Adaptive_30,263750,펄어비스,-14.842258219999477,85157741.78000052,62,35.483870967741936,-34.49804953545921
VolBreak_0.4_3,005930,삼성전자,-15.323841739997773,84676158.26000223,223,47.98206278026906,-27.646567228546726
MultiFactor_443_50,051910,LG화학,-15.617124199998585,84382875.80000141,92,21.73913043478261,-71.50992817738012
Breakout_10_3,251270,넷마블,-15.711467899999143,84288532.10000086,67,38.80597014925373,-34.0564557983176
Voting_5,263750,펄어비스,-17.384420029999017,82615579.97000098,101,40.5940594059406,-24.42247633999996
Voting_4,068270,셀트리온제약,-18.159390602998137,81840609.39700186,130,36.92307692307693,-59.55966962990791
Voting_4,373220,LG에너지솔루션,-18.36010799999939,81639892.00000061,54,22.22222222222222,-52.299106637531665
Breakout_10_3,207940,삼성바이오로직스,-18.913556562999084,81086443.43700092,94,34.04255319148936,-30.67628968009849
Breakout_50_10,293490,카카오게임즈,-19.70587399999982,80294126.00000018,14,35.714285714285715,-24.495646407405886
VolBreak_0.4_3,051910,LG화학,-19.763004099996863,80236995.90000314,211,45.497630331753555,-39.65239505032446
Breakout_20_5,207940,삼성바이오로직스,-20.221912558999165,79778087.44100083,72,31.944444444444443,-29.261034785976687
VolBreak_0.6_5,006400,삼성SDI,-21.469888717998312,78530111.28200169,172,41.27906976744186,-38.449963516510245
MultiFactor_532_60,028300,HLB,-21.518446483999,78481553.516001,132,34.090909090909086,-86.55418806916111
Breakout_20_5,293490,카카오게임즈,-21.58607195999974,78413928.04000026,26,34.61538461538461,-32.89093560770351
Breakout_20_5,251270,넷마블,-21.985357949999436,78014642.05000056,43,41.86046511627907,-35.02654463216315
VolBreak_0.5_3,028300,HLB,-22.544825956997514,77455174.04300249,222,46.846846846846844,-61.867249441821215
MultiFactor_532_60,373220,LG에너지솔루션,-22.84152599999942,77158474.00000058,47,21.27659574468085,-47.1210980684984
VolBreak_0.4_3,068270,셀트리온제약,-23.50744152699739,76492558.47300261,257,41.63424124513619,-41.87534177226118
VolBreak_0.6_5,005380,현대차,-23.652512899997532,76347487.10000247,178,43.258426966292134,-33.86989778742975
MomQuality_10_5,006400,삼성SDI,-24.067117496998698,75932882.5030013,123,28.455284552845526,-70.79501827533483
Adaptive_30,005380,현대차,-24.504112699999094,75495887.3000009,88,30.681818181818183,-43.539325580159286
Breakout_10_3,293490,카카오게임즈,-25.210027469999524,74789972.53000048,46,32.608695652173914,-38.05674780731543
MomQuality_20_10,373220,LG에너지솔루션,-27.168986499999466,72831013.50000054,48,29.166666666666668,-56.8302090388969
Adaptive_40,005380,현대차,-29.131043899998755,70868956.10000125,94,28.723404255319153,-47.46469299077492
VolBreak_0.5_3,005380,현대차,-29.59050129999724,70409498.70000276,207,42.99516908212561,-45.396449441750725
Voting_5,006400,삼성SDI,-30.693319591999053,69306680.40800095,100,40.0,-42.161153249147944
VolBreak_0.6_5,263750,펄어비스,-32.700567529998246,67299432.47000176,186,47.8494623655914,-44.45461464545264
Adaptive_40,028300,HLB,-33.188189347999554,66811810.65200045,82,31.70731707317073,-79.39751638630455
Breakout_20_5,373220,LG에너지솔루션,-33.59453699999943,66405463.00000057,41,34.146341463414636,-40.56693156272309
VolBreak_0.4_3,005380,현대차,-33.61143979999696,66388560.20000304,235,42.5531914893617,-48.43201924653819
