category,ticker,name,strategy,total_return_pct
투자자별,007340,007340,MACD_12_26_9_F5,0.3591241830005199
투자자별,011155,011155,VolAdj_F10_V20,0.2264380600010455
투자자별,032640,032640,VolAdj_F5_V15,0.1835513900008648
투자자별,002460,002460,VolSpike_20_2x,0.1730803700008839
앙상블,251270,넷마블,MeanRev_20_2,0.0720897000001967
앙상블,5930,삼성전자,MultiFactor_532_60,0.0621654700007587
투자자별,009540,009540,InstMom_20,0.0
투자자별,010120,010120,InstMom_10,0.0
투자자별,012030,012030,InstMom_20,0.0
투자자별,007340,007340,InstMom_20,0.0
투자자별,007070,007070,InstMom_20,0.0
투자자별,051910,051910,InstMom_20,0.0
투자자별,051905,051905,InstMom_20,0.0
투자자별,007700,007700,InstMom_10,0.0
투자자별,001120,001120,InstMom_20,0.0
투자자별,006260,006260,InstMom_20,0.0
투자자별,006260,006260,InstMom_10,0.0
투자자별,000680,000680,InstMom_20,0.0
투자자별,051910,051910,InstMom_10,0.0
앙상블,5930,삼성전자,MeanRev_20_2.5,0.0
앙상블,660,SK하이닉스,MeanRev_20_2.5,0.0
투자자별,014790,014790,InstMom_10,0.0
투자자별,000215,000215,InstMom_10,0.0
투자자별,004840,004840,InstMom_20,0.0
투자자별,004840,004840,InstMom_10,0.0
투자자별,005830,005830,InstMom_20,0.0
투자자별,012630,012630,BB_20_2.5_F10,0.0
투자자별,012630,012630,InstMom_10,0.0
투자자별,035000,035000,InstMom_20,0.0
투자자별,035000,035000,InstMom_10,0.0
투자자별,017860,017860,InstMom_20,0.0
투자자별,017860,017860,InstMom_10,0.0
투자자별,027410,027410,InstMom_10,0.0
투자자별,027410,027410,InstMom_20,0.0
투자자별,001120,001120,InstMom_10,0.0
투자자별,011150,011150,InstMom_10,0.0
투자자별,000590,000590,InstMom_20,0.0
투자자별,000590,000590,InstMom_10,0.0
투자자별,003580,003580,InstMom_10,0.0
투자자별,003580,003580,InstMom_20,0.0
투자자별,011070,011070,InstMom_20,0.0
투자자별,000990,000990,InstMom_10,0.0
투자자별,005830,005830,InstMom_10,0.0
투자자별,009540,009540,InstMom_10,0.0
투자자별,010120,010120,InstMom_20,0.0
투자자별,017940,017940,InstMom_10,0.0
투자자별,00104K,00104K,InstMom_20,0.0
투자자별,037560,037560,InstMom_10,0.0
투자자별,039570,039570,InstMom_10,0.0
투자자별,037560,037560,InstMom_20,0.0
투자자별,032640,032640,InstMom_20,0.0
투자자별,032640,032640,InstMom_10,0.0
투자자별,001530,001530,InstMom_10,0.0
투자자별,001530,001530,InstMom_20,0.0
투자자별,011155,011155,InstMom_10,0.0
투자자별,011150,011150,InstMom_20,0.0
투자자별,011200,011200,InstMom_10,0.0
투자자별,011200,011200,InstMom_20,0.0
투자자별,001040,001040,InstMom_20,0.0
투자자별,003555,003555,InstMom_10,0.0
투자자별,012030,012030,InstMom_10,0.0
투자자별,011155,011155,InstMom_20,0.0
투자자별,000210,000210,InstMom_10,0.0
투자자별,000210,000210,InstMom_20,0.0
투자자별,001250,001250,InstMom_10,0.0
투자자별,001250,001250,InstMom_20,0.0
투자자별,000480,000480,InstMom_10,0.0
투자자별,000480,000480,InstMom_20,0.0
투자자별,001460,001460,InstMom_20,0.0
투자자별,001465,001465,InstMom_20,0.0
투자자별,016610,016610,InstMom_20,0.0
투자자별,016610,016610,InstMom_10,0.0
투자자별,014790,014790,InstMom_20,0.0
투자자별,001465,001465,InstMom_10,0.0
투자자별,001040,001040,InstMom_10,0.0
투자자별,017940,017940,InstMom_20,0.0
투자자별,017860,017860,BB_20_2.5_F10,0.0
투자자별,015590,015590,InstMom_20,0.0
투자자별,012630,012630,InstMom_20,0.0
투자자별,00104K,00104K,InstMom_10,0.0
투자자별,011070,011070,InstMom_10,0.0
투자자별,000990,000990,InstMom_20,0.0
투자자별,002460,002460,InstMom_10,0.0
투자자별,002460,002460,InstMom_20,0.0
투자자별,006840,006840,InstMom_20,0.0
투자자별,006840,006840,InstMom_10,0.0
