exchange,universe,strategy,kama_p,tsmom_p,return,sharpe,mdd,trades
binance_spot,btc_only,buy_hold,10,60,19.877343672545503,0.7255676680558101,-0.8318705353076482,1
binance_spot,btc_only,buy_hold,20,30,19.877343672545503,0.7255676680558101,-0.8318705353076482,1
binance_spot,btc_only,buy_hold,5,90,19.877343672545503,0.7255676680558101,-0.8318705353076482,1
binance_spot,btc_only,kama_only,10,60,4.718486455312798,0.5688653318494816,-0.6313086879683781,436
binance_spot,btc_only,kama_only,20,30,21.008495864819512,0.881169915479809,-0.5935816953363322,304
binance_spot,btc_only,kama_only,5,90,3.9216709574342596,0.5309404852158718,-0.6926557728689442,576
binance_spot,btc_only,tsmom_only,10,60,29.836358019049886,0.8983115807780245,-0.6103258648430718,153
binance_spot,btc_only,tsmom_only,20,30,29.10094389584111,0.9028294404945582,-0.7464938774962971,245
binance_spot,btc_only,tsmom_only,5,90,10.883585856414356,0.6961069182279125,-0.6690627340781758,114
binance_spot,btc_only,or_loose,10,60,22.840216036626458,0.8762710125053975,-0.6707487311359065,280
binance_spot,btc_only,or_loose,20,30,23.149488814190608,0.8767933695185407,-0.6991078898354515,258
binance_spot,btc_only,or_loose,5,90,12.053909505885438,0.7502420585748917,-0.6335942651954293,310
binance_spot,btc_only,or_loose_no_gate,10,60,19.354260641673005,0.7740826667883813,-0.7465096156474471,279
binance_spot,btc_only,or_loose_no_gate,20,30,27.922840002573967,0.8635117083255963,-0.7006661508752455,273
binance_spot,btc_only,or_loose_no_gate,5,90,6.676506207986588,0.5926876462788799,-0.7629673415618433,322
binance_spot,top5,buy_hold,10,60,14.334691056111222,0.6789468986801255,-0.870218555777809,2
binance_spot,top5,buy_hold,20,30,14.334691056111222,0.6789468986801255,-0.870218555777809,2
binance_spot,top5,buy_hold,5,90,14.334691056111222,0.6789468986801255,-0.870218555777809,2
binance_spot,top5,kama_only,10,60,1.960724423916209,0.4208584536189907,-0.7265653980029846,1103
binance_spot,top5,kama_only,20,30,16.241217979095556,0.7644881380872742,-0.5677018094557393,757
binance_spot,top5,kama_only,5,90,-0.20673730892237427,0.1520171299621314,-0.7646141364836295,1563
binance_spot,top5,tsmom_only,10,60,2.044404176031766,0.43630776341114585,-0.7680700790918572,551
binance_spot,top5,tsmom_only,20,30,4.504468408298721,0.5421723900455978,-0.8138349889417543,733
binance_spot,top5,tsmom_only,5,90,1.9785604067033429,0.4306614694807296,-0.8277653894593635,341
binance_spot,top5,or_loose,10,60,15.155879469286191,0.8685971132022724,-0.5203842985676483,836
binance_spot,top5,or_loose,20,30,20.653277401871748,0.9137938327809498,-0.5777841084809091,738
binance_spot,top5,or_loose,5,90,8.015122755736643,0.7087855078263571,-0.5014890369367488,1000
binance_spot,top5,or_loose_no_gate,10,60,7.8151374884774425,0.6186259967850736,-0.7345182892102798,635
binance_spot,top5,or_loose_no_gate,20,30,11.520929258659958,0.6886766890339745,-0.7842809147990861,629
binance_spot,top5,or_loose_no_gate,5,90,3.3118826945440807,0.4956439219274863,-0.8472868192310193,715
binance_spot,top10,buy_hold,10,60,14.334691056111222,0.6789468986801255,-0.870218555777809,2
binance_spot,top10,buy_hold,20,30,14.334691056111222,0.6789468986801255,-0.870218555777809,2
binance_spot,top10,buy_hold,5,90,14.334691056111222,0.6789468986801255,-0.870218555777809,2
binance_spot,top10,kama_only,10,60,35.35048988691906,0.770487100625069,-0.8572827817570953,1821
binance_spot,top10,kama_only,20,30,166.67283841409323,0.9532002041898288,-0.8016752200263025,1329
binance_spot,top10,kama_only,5,90,24.87064176442872,0.7471781522545641,-0.7771573334197849,2715
binance_spot,top10,tsmom_only,10,60,5.8860146501984545,0.5621982123324248,-0.8106619214044154,653
binance_spot,top10,tsmom_only,20,30,25.651801457063296,0.691974145225722,-0.8450692403022695,1157
binance_spot,top10,tsmom_only,5,90,17.622323810870117,0.6613092748135627,-0.9138783925883411,448
binance_spot,top10,or_loose,10,60,140.7029282843979,1.1705439481759736,-0.6594731073575625,1762
binance_spot,top10,or_loose,20,30,47.74116713048374,0.9776031517855069,-0.724553553151837,1434
binance_spot,top10,or_loose,5,90,39.655309603303024,0.9301683700896409,-0.6312763344343326,2034
binance_spot,top10,or_loose_no_gate,10,60,63.90100603074159,0.7941626147059786,-0.8436984159663472,1056
binance_spot,top10,or_loose_no_gate,20,30,10.70201763981131,0.6062679220962035,-0.8430544117168056,1142
binance_spot,top10,or_loose_no_gate,5,90,99.1208097309442,0.8458824723060194,-0.7641688361541829,1285
binance_spot,top20,buy_hold,10,60,14.334691056111222,0.6789468986801255,-0.870218555777809,2
binance_spot,top20,buy_hold,20,30,14.334691056111222,0.6789468986801255,-0.870218555777809,2
binance_spot,top20,buy_hold,5,90,14.334691056111222,0.6789468986801255,-0.870218555777809,2
binance_spot,top20,kama_only,10,60,32.52942920176443,0.7561149659882416,-0.8660526478069561,2507
binance_spot,top20,kama_only,20,30,89.89370196027974,0.8655703331285598,-0.8293464056570116,1705
binance_spot,top20,kama_only,5,90,8.465522993951506,0.5981583212976074,-0.8358438276248359,3809
binance_spot,top20,tsmom_only,10,60,39.46756401638711,0.775480799229117,-0.7517449695244035,966
binance_spot,top20,tsmom_only,20,30,29.374466696099635,0.7257149561280839,-0.8339309576201414,1556
binance_spot,top20,tsmom_only,5,90,12.296368876192142,0.631492896525171,-0.9174296369385077,568
binance_spot,top20,or_loose,10,60,114.26121320500576,1.1085789405660007,-0.6479634826164772,2520
binance_spot,top20,or_loose,20,30,71.6598185695476,1.0145948243322027,-0.7112399000146629,2124
binance_spot,top20,or_loose,5,90,55.75932121615044,0.972465106877055,-0.6502811320367674,2930
binance_spot,top20,or_loose_no_gate,10,60,25.3186912110412,0.7164285092824884,-0.8907700901044127,1748
binance_spot,top20,or_loose_no_gate,20,30,6.369806592699178,0.5528172874565905,-0.8586863038069584,1652
binance_spot,top20,or_loose_no_gate,5,90,125.0589900975227,0.8915472075684541,-0.8364051215347323,2127
upbit,btc_only,buy_hold,10,60,29.51416833154607,0.810766718411974,-0.8681314677160764,1
upbit,btc_only,buy_hold,20,30,29.51416833154607,0.810766718411974,-0.8681314677160764,1
upbit,btc_only,buy_hold,5,90,29.51416833154607,0.810766718411974,-0.8681314677160764,1
upbit,btc_only,kama_only,10,60,77.81945946462581,1.185417162546783,-0.49399069200484647,376
upbit,btc_only,kama_only,20,30,48.47239234166871,1.0851401043199929,-0.4651560712200732,314
upbit,btc_only,kama_only,5,90,76.66310771216882,1.180320845578298,-0.4892633316566136,520
upbit,btc_only,tsmom_only,10,60,24.716169202854413,0.8865054424630033,-0.7358502229149131,121
upbit,btc_only,tsmom_only,20,30,70.68367936128459,1.1367193165738239,-0.6783080377443986,193
upbit,btc_only,tsmom_only,5,90,6.169765998716222,0.6317788136360917,-0.7241452484918056,126
upbit,btc_only,or_loose,10,60,212.77015718415765,1.4123322207330933,-0.42202551310610437,206
upbit,btc_only,or_loose,20,30,268.64697492703664,1.4545010117781854,-0.40184260524634413,176
upbit,btc_only,or_loose,5,90,163.70264245801195,1.372512629551717,-0.47813699191447984,256
upbit,btc_only,or_loose_no_gate,10,60,48.29822354704945,0.9649833986693085,-0.692404089139229,247
upbit,btc_only,or_loose_no_gate,20,30,83.79654412554197,1.122224606468194,-0.5281957709467963,237
upbit,btc_only,or_loose_no_gate,5,90,36.327839608815204,0.9037899725521392,-0.7340005986612267,286
upbit,top5,buy_hold,10,60,4.3027147675093165,0.5548402656180251,-0.8824987250619983,2
upbit,top5,buy_hold,20,30,4.3027147675093165,0.5548402656180251,-0.8824987250619983,2
upbit,top5,buy_hold,5,90,4.3027147675093165,0.5548402656180251,-0.8824987250619983,2
upbit,top5,kama_only,10,60,164.32814679974766,0.9863133009237862,-0.871404780214669,942
upbit,top5,kama_only,20,30,1308.786577656547,1.2056905894860928,-0.7991335332574553,722
upbit,top5,kama_only,5,90,608.339834693305,1.0903850301402382,-0.8476523696822704,1402
upbit,top5,tsmom_only,10,60,3.783443291867967,0.5092757861379473,-0.8189044529353942,282
upbit,top5,tsmom_only,20,30,13.705761199456349,0.6769158243468064,-0.8179349980261377,477
upbit,top5,tsmom_only,5,90,-0.44427893512375566,0.15544029948509105,-0.9089445523510995,230
upbit,top5,or_loose,10,60,13.078146616055152,0.7320727208137587,-0.646379963477456,750
upbit,top5,or_loose,20,30,112.980407970862,1.1225355349157786,-0.6648204387373371,552
upbit,top5,or_loose,5,90,294.11458725327486,1.1040792666258996,-0.7021080330530902,910
upbit,top5,or_loose_no_gate,10,60,1.8214094536288616,0.4324261218945857,-0.8242454569768141,568
upbit,top5,or_loose_no_gate,20,30,32.65085439383382,0.7753643636235121,-0.7992423773363354,595
upbit,top5,or_loose_no_gate,5,90,15.30452971743284,0.6553408262584379,-0.9064441886839811,620
upbit,top10,buy_hold,10,60,9.588254110633013,0.6360773719489734,-0.9102889623968077,6
upbit,top10,buy_hold,20,30,9.588254110633013,0.6360773719489734,-0.9102889623968077,6
upbit,top10,buy_hold,5,90,9.588254110633013,0.6360773719489734,-0.9102889623968077,6
upbit,top10,kama_only,10,60,689.2563911923841,1.1854295680557416,-0.7685426306233493,1707
upbit,top10,kama_only,20,30,439.25701645305475,1.1584679361378263,-0.8155791137161599,1347
upbit,top10,kama_only,5,90,39.2811797285047,0.8032839468211642,-0.8294371357952725,2780
upbit,top10,tsmom_only,10,60,3.2810167332444187,0.4910389558706573,-0.8590861048854074,481
upbit,top10,tsmom_only,20,30,81.78047453174587,0.939306523487065,-0.7545545487765803,804
upbit,top10,tsmom_only,5,90,-0.7230100147348641,0.0311429190090533,-0.9386976083971496,418
upbit,top10,or_loose,10,60,112.38665501675838,1.1927852774647432,-0.5219655629737816,1402
upbit,top10,or_loose,20,30,330.10054398110736,1.4333563497807502,-0.47933918257161506,1110
upbit,top10,or_loose,5,90,365.9785936998235,1.3400789843899656,-0.5390474797259716,1828
upbit,top10,or_loose_no_gate,10,60,23.10185677296417,0.7497865648069859,-0.7856670767932081,1104
upbit,top10,or_loose_no_gate,20,30,43.64424584463576,0.8366143750842061,-0.737034845922859,992
upbit,top10,or_loose_no_gate,5,90,3.6808735389580325,0.5082770463900678,-0.9127753620662213,1448
upbit,top20,buy_hold,10,60,55.46784271598128,0.8238483927022086,-0.9559653337706354,1514
upbit,top20,buy_hold,20,30,55.46784271598128,0.8238483927022086,-0.9559653337706354,1514
upbit,top20,buy_hold,5,90,55.46784271598128,0.8238483927022086,-0.9559653337706354,1514
upbit,top20,kama_only,10,60,302.9927262536671,1.051275534793352,-0.755025320645068,3241
upbit,top20,kama_only,20,30,116.26661409214326,0.9321407083179175,-0.8133385457794504,2411
upbit,top20,kama_only,5,90,78.35901745830975,0.8763342158903202,-0.8529559098151392,4924
upbit,top20,tsmom_only,10,60,2.4779073942679424,0.47052431340518125,-0.9362769928743315,1015
upbit,top20,tsmom_only,20,30,56.178780985379134,0.8568835015174553,-0.8668422783324017,1580
upbit,top20,tsmom_only,5,90,1.4720708183033904,0.417047744474787,-0.8899202521434645,574
upbit,top20,or_loose,10,60,336.8454226799258,1.2932399317517664,-0.585084011518057,2680
upbit,top20,or_loose,20,30,1557.6124631322505,1.5176209590855134,-0.5802211447335142,2190
upbit,top20,or_loose,5,90,1143.1448489435631,1.4319016917599707,-0.559100934898931,3078
upbit,top20,or_loose_no_gate,10,60,18.943125455418343,0.7104362968569228,-0.8553332381701734,2088
upbit,top20,or_loose_no_gate,20,30,6.575103207976981,0.5737636053579922,-0.8763662578180067,1949
upbit,top20,or_loose_no_gate,5,90,24.81552894719882,0.7375335079027264,-0.8834342210327597,2732
bithumb,btc_only,buy_hold,10,60,168.17291245323923,0.8229396024808487,-0.8566066365850737,1
bithumb,btc_only,buy_hold,20,30,168.17291245323923,0.8229396024808487,-0.8566066365850737,1
bithumb,btc_only,buy_hold,5,90,168.17291245323923,0.8229396024808487,-0.8566066365850737,1
bithumb,btc_only,kama_only,10,60,709.4994322541291,1.18334255227736,-0.5061162732236566,558
bithumb,btc_only,kama_only,20,30,351.8261165700684,1.0746815998192683,-0.5206842691972763,426
bithumb,btc_only,kama_only,5,90,1442.7226659399446,1.2792381255174667,-0.4548243427861025,692
bithumb,btc_only,tsmom_only,10,60,240.0950285975054,0.9747710442051762,-0.7189992247371433,164
bithumb,btc_only,tsmom_only,20,30,1266.790849464908,1.25835585479777,-0.5869965768110673,258
bithumb,btc_only,tsmom_only,5,90,298.76103840188426,0.996034928468159,-0.6841772151898734,168
bithumb,btc_only,or_loose,10,60,579.3962627909668,1.1558046569755704,-0.5606078143318513,346
bithumb,btc_only,or_loose,20,30,641.6526995014877,1.1653832602441165,-0.568407450801029,300
bithumb,btc_only,or_loose,5,90,571.0972352062932,1.1584992012741935,-0.5115953506013873,372
bithumb,btc_only,or_loose_no_gate,10,60,432.1790060524728,0.9885932662372026,-0.6534450122876224,352
bithumb,btc_only,or_loose_no_gate,20,30,1363.8831775730864,1.1919517298133684,-0.5521960169764583,324
bithumb,btc_only,or_loose_no_gate,5,90,741.8272969235665,1.0425075444878873,-0.6841772151898734,358
bithumb,top5,buy_hold,10,60,168.17291245323923,0.8229396024808487,-0.8566066365850737,1
bithumb,top5,buy_hold,20,30,168.17291245323923,0.8229396024808487,-0.8566066365850737,1
bithumb,top5,buy_hold,5,90,168.17291245323923,0.8229396024808487,-0.8566066365850737,1
bithumb,top5,kama_only,10,60,3009.253168577367,1.1255893176114824,-0.6499358003798152,1078
bithumb,top5,kama_only,20,30,3097.4172079542427,1.0836091652578725,-0.6710934978916934,840
bithumb,top5,kama_only,5,90,6747.39303815891,1.1869623592245593,-0.6956192077678253,1508
bithumb,top5,tsmom_only,10,60,62.17781800729262,0.7432757146159066,-0.8630780862178304,278
bithumb,top5,tsmom_only,20,30,201.69376949500267,0.828760211438636,-0.8655845766635918,523
bithumb,top5,tsmom_only,5,90,46.58978671845208,0.6907035340789595,-0.9180628040819665,250
bithumb,top5,or_loose,10,60,412.20280175424125,1.0527198905171908,-0.5606078143318513,804
bithumb,top5,or_loose,20,30,3257.8799708756687,1.2816588518874787,-0.568407450801029,662
bithumb,top5,or_loose,5,90,762.5668154889056,1.1382966432207957,-0.5115953506013873,962
bithumb,top5,or_loose_no_gate,10,60,67.72559410782944,0.7333853994321528,-0.7673642327375655,546
bithumb,top5,or_loose_no_gate,20,30,7193.104756539993,1.128251046660611,-0.6907759609136737,603
bithumb,top5,or_loose_no_gate,5,90,199.113074590724,0.8403028786962399,-0.7603927475456567,684
bithumb,top10,buy_hold,10,60,168.17291245323923,0.8229396024808487,-0.8566066365850737,1
