rank,market,exchange,timeframe,universe,strategy,params,return_pct,sharpe,mdd_pct,trades
344,futures,binance_futures,1d,top5,OR_LOOSE+funding+lsratio+vix+dxy,KAMA10/TSMOM60/MA30,557.3104958376496,0.7254780301033136,-57.65939788103472,1366
345,futures,binance_futures,1d,top5,OR_LOOSE+lsratio+vix+dxy,KAMA10/TSMOM60/MA30,557.3104958376496,0.7254780301033136,-57.65939788103472,1366
346,futures,binance_futures,1d,top5,OR_LOOSE+funding+oi+vix+dxy,KAMA10/TSMOM60/MA30,557.3104958376496,0.7254780301033136,-57.65939788103472,1366
347,spot,bithumb,1d,top20,tsmom_only,KAMA10/TSMOM60,7139.875731698486,0.7197983074377928,-87.24790843490769,661
348,spot,binance_spot,1d,top20,or_loose_no_gate,KAMA10/TSMOM60,2531.86912110412,0.7164285092824884,-89.07700901044126,1748
349,futures,binance_futures,1d,top5,OR_LOOSE+funding+oi+fear_greed,KAMA10/TSMOM60/MA30,567.3318055067102,0.712392601363533,-59.44800559766678,984
350,futures,binance_futures,1d,top5,OR_LOOSE+funding+fear_greed,KAMA10/TSMOM60/MA30,567.3318055067102,0.712392601363533,-59.44800559766678,984
351,futures,binance_futures,1d,top5,OR_LOOSE+funding+oi+lsratio+fear_greed,KAMA10/TSMOM60/MA30,567.3318055067102,0.712392601363533,-59.44800559766678,984
352,futures,binance_futures,1d,top5,OR_LOOSE+lsratio+fear_greed,KAMA10/TSMOM60/MA30,567.3318055067102,0.712392601363533,-59.44800559766678,984
353,futures,binance_futures,1d,top5,OR_LOOSE+oi+fear_greed,KAMA10/TSMOM60/MA30,567.3318055067102,0.712392601363533,-59.44800559766678,984
354,futures,binance_futures,1d,top5,OR_LOOSE+funding+lsratio+fear_greed,KAMA10/TSMOM60/MA30,567.3318055067102,0.712392601363533,-59.44800559766678,984
355,futures,binance_futures,1d,top5,OR_LOOSE+fear_greed,KAMA10/TSMOM60/MA30,567.3318055067102,0.712392601363533,-59.44800559766678,984
356,futures,binance_futures,1d,top5,OR_LOOSE+oi+lsratio+fear_greed,KAMA10/TSMOM60/MA30,567.3318055067102,0.712392601363533,-59.44800559766678,984
357,spot,upbit,1d,top20,or_loose_no_gate,KAMA10/TSMOM60,1894.3125455418344,0.7104362968569228,-85.53332381701733,2088
358,futures,binance_futures,1d,top10,OR_LOOSE+dxy,KAMA10/TSMOM60/MA30,536.7845264867447,0.7100876122651786,-54.73905685936934,1964
359,futures,binance_futures,1d,top10,OR_LOOSE+funding+oi+lsratio+dxy,KAMA10/TSMOM60/MA30,536.7845264867447,0.7100876122651786,-54.73905685936934,1964
360,futures,binance_futures,1d,top10,OR_LOOSE+funding+lsratio+dxy,KAMA10/TSMOM60/MA30,536.7845264867447,0.7100876122651786,-54.73905685936934,1964
361,futures,binance_futures,1d,top10,OR_LOOSE+funding+dxy,KAMA10/TSMOM60/MA30,536.7845264867447,0.7100876122651786,-54.73905685936934,1964
362,futures,binance_futures,1d,top10,OR_LOOSE+funding+oi+dxy,KAMA10/TSMOM60/MA30,536.7845264867447,0.7100876122651786,-54.73905685936934,1964
363,futures,binance_futures,1d,top10,OR_LOOSE+oi+dxy,KAMA10/TSMOM60/MA30,536.7845264867447,0.7100876122651786,-54.73905685936934,1964
364,futures,binance_futures,1d,top10,OR_LOOSE+oi+lsratio+dxy,KAMA10/TSMOM60/MA30,536.7845264867447,0.7100876122651786,-54.73905685936934,1964
365,futures,binance_futures,1d,top10,OR_LOOSE+lsratio+dxy,KAMA10/TSMOM60/MA30,536.7845264867447,0.7100876122651786,-54.73905685936934,1964
366,spot,binance_spot,1d,top5,or_loose,KAMA5/TSMOM90,801.5122755736643,0.7087855078263571,-50.14890369367488,1000
367,spot,bithumb,1d,top10,or_loose_no_gate,KAMA10/TSMOM60,6169.021827245616,0.7081724055627301,-73.52056593704015,1019
368,spot,binance_spot,1d,btc_only,tsmom_only,KAMA5/TSMOM90,1088.3585856414356,0.6961069182279125,-66.90627340781758,114
