universe,kama_p,tsmom_p,btc_ma_p,filters,funding,oi,lsratio,fear_greed,vix,dxy,return,sharpe,mdd,trades,win_rate
btc_only,5,90,30,base,False,False,False,False,False,False,1.0549986757380494,0.3658619730704159,-0.6688917336271416,372,0.26344086021505375
btc_only,5,90,30,dxy,False,False,False,False,False,True,0.11589932547358713,0.20955958380941891,-0.8043960412614132,570,0.34385964912280703
btc_only,5,90,30,vix,False,False,False,False,True,False,0.6217785921662439,0.30864099843342374,-0.6386310981253459,374,0.2887700534759358
btc_only,5,90,30,vix+dxy,False,False,False,False,True,True,0.03233353647295007,0.18846029775533701,-0.8108356163980818,568,0.3485915492957746
btc_only,5,90,30,fear_greed,False,False,False,True,False,False,-0.3903085518964914,0.060594271551367526,-0.7034174727210767,444,0.28378378378378377
btc_only,5,90,30,fear_greed+dxy,False,False,False,True,False,True,-0.6264024851100187,-0.09065777323086952,-0.7953770840825208,580,0.33793103448275863
btc_only,5,90,30,fear_greed+vix,False,False,False,True,True,False,-0.5218624396150033,-0.006088370651184581,-0.6855086164464284,446,0.30493273542600896
btc_only,5,90,30,fear_greed+vix+dxy,False,False,False,True,True,True,-0.6577106276824732,-0.11822130557953593,-0.8117327006082586,580,0.3413793103448276
btc_only,5,90,30,lsratio,False,False,True,False,False,False,1.0549986757380494,0.3658619730704159,-0.6688917336271416,372,0.26344086021505375
btc_only,5,90,30,lsratio+dxy,False,False,True,False,False,True,0.11589932547358713,0.20955958380941891,-0.8043960412614132,570,0.34385964912280703
btc_only,5,90,30,lsratio+vix,False,False,True,False,True,False,0.6217785921662439,0.30864099843342374,-0.6386310981253459,374,0.2887700534759358
btc_only,5,90,30,lsratio+vix+dxy,False,False,True,False,True,True,0.03233353647295007,0.18846029775533701,-0.8108356163980818,568,0.3485915492957746
btc_only,5,90,30,lsratio+fear_greed,False,False,True,True,False,False,-0.3903085518964914,0.060594271551367526,-0.7034174727210767,444,0.28378378378378377
btc_only,5,90,30,lsratio+fear_greed+dxy,False,False,True,True,False,True,-0.6264024851100187,-0.09065777323086952,-0.7953770840825208,580,0.33793103448275863
btc_only,5,90,30,lsratio+fear_greed+vix,False,False,True,True,True,False,-0.5218624396150033,-0.006088370651184581,-0.6855086164464284,446,0.30493273542600896
btc_only,5,90,30,lsratio+fear_greed+vix+dxy,False,False,True,True,True,True,-0.6577106276824732,-0.11822130557953593,-0.8117327006082586,580,0.3413793103448276
btc_only,5,90,30,oi,False,True,False,False,False,False,1.0549986757380494,0.3658619730704159,-0.6688917336271416,372,0.26344086021505375
btc_only,5,90,30,oi+dxy,False,True,False,False,False,True,0.11589932547358713,0.20955958380941891,-0.8043960412614132,570,0.34385964912280703
btc_only,5,90,30,oi+vix,False,True,False,False,True,False,0.6217785921662439,0.30864099843342374,-0.6386310981253459,374,0.2887700534759358
btc_only,5,90,30,oi+vix+dxy,False,True,False,False,True,True,0.03233353647295007,0.18846029775533701,-0.8108356163980818,568,0.3485915492957746
btc_only,5,90,30,oi+fear_greed,False,True,False,True,False,False,-0.3903085518964914,0.060594271551367526,-0.7034174727210767,444,0.28378378378378377
btc_only,5,90,30,oi+fear_greed+dxy,False,True,False,True,False,True,-0.6264024851100187,-0.09065777323086952,-0.7953770840825208,580,0.33793103448275863
btc_only,5,90,30,oi+fear_greed+vix,False,True,False,True,True,False,-0.5218624396150033,-0.006088370651184581,-0.6855086164464284,446,0.30493273542600896
btc_only,5,90,30,oi+fear_greed+vix+dxy,False,True,False,True,True,True,-0.6577106276824732,-0.11822130557953593,-0.8117327006082586,580,0.3413793103448276
btc_only,5,90,30,oi+lsratio,False,True,True,False,False,False,1.0549986757380494,0.3658619730704159,-0.6688917336271416,372,0.26344086021505375
btc_only,5,90,30,oi+lsratio+dxy,False,True,True,False,False,True,0.11589932547358713,0.20955958380941891,-0.8043960412614132,570,0.34385964912280703
btc_only,5,90,30,oi+lsratio+vix,False,True,True,False,True,False,0.6217785921662439,0.30864099843342374,-0.6386310981253459,374,0.2887700534759358
btc_only,5,90,30,oi+lsratio+vix+dxy,False,True,True,False,True,True,0.03233353647295007,0.18846029775533701,-0.8108356163980818,568,0.3485915492957746
btc_only,5,90,30,oi+lsratio+fear_greed,False,True,True,True,False,False,-0.3903085518964914,0.060594271551367526,-0.7034174727210767,444,0.28378378378378377
btc_only,5,90,30,oi+lsratio+fear_greed+dxy,False,True,True,True,False,True,-0.6264024851100187,-0.09065777323086952,-0.7953770840825208,580,0.33793103448275863
btc_only,5,90,30,oi+lsratio+fear_greed+vix,False,True,True,True,True,False,-0.5218624396150033,-0.006088370651184581,-0.6855086164464284,446,0.30493273542600896
btc_only,5,90,30,oi+lsratio+fear_greed+vix+dxy,False,True,True,True,True,True,-0.6577106276824732,-0.11822130557953593,-0.8117327006082586,580,0.3413793103448276
btc_only,5,90,30,funding,True,False,False,False,False,False,1.0549986757380494,0.3658619730704159,-0.6688917336271416,372,0.26344086021505375
btc_only,5,90,30,funding+dxy,True,False,False,False,False,True,0.11589932547358713,0.20955958380941891,-0.8043960412614132,570,0.34385964912280703
btc_only,5,90,30,funding+vix,True,False,False,False,True,False,0.6217785921662439,0.30864099843342374,-0.6386310981253459,374,0.2887700534759358
btc_only,5,90,30,funding+vix+dxy,True,False,False,False,True,True,0.03233353647295007,0.18846029775533701,-0.8108356163980818,568,0.3485915492957746
btc_only,5,90,30,funding+fear_greed,True,False,False,True,False,False,-0.3903085518964914,0.060594271551367526,-0.7034174727210767,444,0.28378378378378377
btc_only,5,90,30,funding+fear_greed+dxy,True,False,False,True,False,True,-0.6264024851100187,-0.09065777323086952,-0.7953770840825208,580,0.33793103448275863
btc_only,5,90,30,funding+fear_greed+vix,True,False,False,True,True,False,-0.5218624396150033,-0.006088370651184581,-0.6855086164464284,446,0.30493273542600896
btc_only,5,90,30,funding+fear_greed+vix+dxy,True,False,False,True,True,True,-0.6577106276824732,-0.11822130557953593,-0.8117327006082586,580,0.3413793103448276
btc_only,5,90,30,funding+lsratio,True,False,True,False,False,False,1.0549986757380494,0.3658619730704159,-0.6688917336271416,372,0.26344086021505375
btc_only,5,90,30,funding+lsratio+dxy,True,False,True,False,False,True,0.11589932547358713,0.20955958380941891,-0.8043960412614132,570,0.34385964912280703
btc_only,5,90,30,funding+lsratio+vix,True,False,True,False,True,False,0.6217785921662439,0.30864099843342374,-0.6386310981253459,374,0.2887700534759358
btc_only,5,90,30,funding+lsratio+vix+dxy,True,False,True,False,True,True,0.03233353647295007,0.18846029775533701,-0.8108356163980818,568,0.3485915492957746
btc_only,5,90,30,funding+lsratio+fear_greed,True,False,True,True,False,False,-0.3903085518964914,0.060594271551367526,-0.7034174727210767,444,0.28378378378378377
btc_only,5,90,30,funding+lsratio+fear_greed+dxy,True,False,True,True,False,True,-0.6264024851100187,-0.09065777323086952,-0.7953770840825208,580,0.33793103448275863
btc_only,5,90,30,funding+lsratio+fear_greed+vix,True,False,True,True,True,False,-0.5218624396150033,-0.006088370651184581,-0.6855086164464284,446,0.30493273542600896
btc_only,5,90,30,funding+lsratio+fear_greed+vix+dxy,True,False,True,True,True,True,-0.6577106276824732,-0.11822130557953593,-0.8117327006082586,580,0.3413793103448276
btc_only,5,90,30,funding+oi,True,True,False,False,False,False,1.0549986757380494,0.3658619730704159,-0.6688917336271416,372,0.26344086021505375
btc_only,5,90,30,funding+oi+dxy,True,True,False,False,False,True,0.11589932547358713,0.20955958380941891,-0.8043960412614132,570,0.34385964912280703
btc_only,5,90,30,funding+oi+vix,True,True,False,False,True,False,0.6217785921662439,0.30864099843342374,-0.6386310981253459,374,0.2887700534759358
btc_only,5,90,30,funding+oi+vix+dxy,True,True,False,False,True,True,0.03233353647295007,0.18846029775533701,-0.8108356163980818,568,0.3485915492957746
btc_only,5,90,30,funding+oi+fear_greed,True,True,False,True,False,False,-0.3903085518964914,0.060594271551367526,-0.7034174727210767,444,0.28378378378378377
btc_only,5,90,30,funding+oi+fear_greed+dxy,True,True,False,True,False,True,-0.6264024851100187,-0.09065777323086952,-0.7953770840825208,580,0.33793103448275863
btc_only,5,90,30,funding+oi+fear_greed+vix,True,True,False,True,True,False,-0.5218624396150033,-0.006088370651184581,-0.6855086164464284,446,0.30493273542600896
btc_only,5,90,30,funding+oi+fear_greed+vix+dxy,True,True,False,True,True,True,-0.6577106276824732,-0.11822130557953593,-0.8117327006082586,580,0.3413793103448276
btc_only,5,90,30,funding+oi+lsratio,True,True,True,False,False,False,1.0549986757380494,0.3658619730704159,-0.6688917336271416,372,0.26344086021505375
btc_only,5,90,30,funding+oi+lsratio+dxy,True,True,True,False,False,True,0.11589932547358713,0.20955958380941891,-0.8043960412614132,570,0.34385964912280703
btc_only,5,90,30,funding+oi+lsratio+vix,True,True,True,False,True,False,0.6217785921662439,0.30864099843342374,-0.6386310981253459,374,0.2887700534759358
btc_only,5,90,30,funding+oi+lsratio+vix+dxy,True,True,True,False,True,True,0.03233353647295007,0.18846029775533701,-0.8108356163980818,568,0.3485915492957746
btc_only,5,90,30,funding+oi+lsratio+fear_greed,True,True,True,True,False,False,-0.3903085518964914,0.060594271551367526,-0.7034174727210767,444,0.28378378378378377
btc_only,5,90,30,funding+oi+lsratio+fear_greed+dxy,True,True,True,True,False,True,-0.6264024851100187,-0.09065777323086952,-0.7953770840825208,580,0.33793103448275863
btc_only,5,90,30,funding+oi+lsratio+fear_greed+vix,True,True,True,True,True,False,-0.5218624396150033,-0.006088370651184581,-0.6855086164464284,446,0.30493273542600896
btc_only,5,90,30,funding+oi+lsratio+fear_greed+vix+dxy,True,True,True,True,True,True,-0.6577106276824732,-0.11822130557953593,-0.8117327006082586,580,0.3413793103448276
btc_only,10,60,30,base,False,False,False,False,False,False,4.107196964427758,0.5771158400664818,-0.5254539691094519,338,0.2958579881656805
btc_only,10,60,30,dxy,False,False,False,False,False,True,0.8922428011746549,0.3396537272449273,-0.6706362236864083,568,0.36619718309859156
btc_only,10,60,30,vix,False,False,False,False,True,False,2.774879832379024,0.5078698598419575,-0.5291763062123579,346,0.3179190751445087
btc_only,10,60,30,vix+dxy,False,False,False,False,True,True,0.7812018504085733,0.32388309165966783,-0.6655219503400377,570,0.3719298245614035
btc_only,10,60,30,fear_greed,False,False,False,True,False,False,0.5643280486990027,0.293986345098518,-0.5267266386196021,408,0.3088235294117647
btc_only,10,60,30,fear_greed+dxy,False,False,False,True,False,True,-0.3546706652495156,0.05254424711573951,-0.6549183379154396,578,0.35986159169550175
