symbol,pf,return,wr,mdd,trades
1000BONKUSDT,1.001710467567189,0.08499913230359812,45.45454545454545,-35.79645075655103,11
1000FLOKIUSDT,1.5862184925310867,23.15793232016441,60.0,-25.38963325665876,15
1000LUNCUSDT,0.9969371175751572,-0.10011409051660092,53.333333333333336,-30.336157911897054,15
1000PEPEUSDT,0.8207846391256428,-7.703081976151093,53.84615384615385,-34.91676664397983,13
1000RATSUSDT,1.138398569825079,6.151417179385743,46.666666666666664,-17.64357027776733,15
1000SHIBUSDT,0.9005385431676056,-4.357663615962936,38.095238095238095,-19.24869000239876,21
1000XECUSDT,1.7748699030760293,36.16613730717009,60.0,-21.847154580715696,20
1INCHUSDT,0.9131675117963605,-3.1821100165725147,50.0,-23.705152855035305,20
AAVEUSDT,0.656882379888141,-24.28372478012275,30.434782608695656,-32.77526393044594,23
ACHUSDT,0.2819347013791377,-42.132919440912545,45.45454545454545,-50.070181377814336,11
ADAUSDT,0.25421702647198363,-48.30179358085599,36.36363636363637,-48.30179358085599,22
AGLDUSDT,1.0101125226829826,0.3026443326026751,63.63636363636363,-23.21181127991136,11
ALGOUSDT,0.41492206549155475,-39.162274583173875,35.483870967741936,-48.38456416603838,31
ALICEUSDT,0.4761034921163847,-28.722985673798473,52.38095238095239,-45.522491075721675,21
ANKRUSDT,1.5101109496112577,38.37413199816451,52.17391304347826,-25.959619151460966,23
APEUSDT,0.5615622274429548,-24.24078692842595,52.63157894736842,-40.266282832368546,19
API3USDT,1.2897749556616909,12.907940005886642,55.55555555555556,-25.81856283086321,18
APTUSDT,2.1792041151725736,39.89498579628401,64.70588235294117,-18.072772875474506,17
ARBUSDT,6.623208410485662,45.44651724164923,75.0,-4.546564716720402,12
ARKMUSDT,1.3309510454954465,10.02360330951455,54.54545454545454,-24.838980602523943,11
ARPAUSDT,2.5961376312293236,49.53467638245483,63.1578947368421,-9.945109049527728,19
ARUSDT,1.1733725942950086,10.584035624899556,45.83333333333333,-24.829043215365175,24
ASTRUSDT,7.369740623723556,46.068376104306076,70.0,-4.847350913413575,10
ATAUSDT,0.24576409023263693,-53.03580537427759,30.0,-58.02028906219417,20
ATOMUSDT,0.5071321394454532,-35.24881794263904,45.45454545454545,-37.46829192716787,33
AUCTIONUSDT,3.034440370687438,32.83402997487978,70.0,-8.48565390437814,10
AVAXUSDT,0.9297196120894294,-5.944833127177384,48.275862068965516,-36.00284306870157,29
AXLUSDT,1.2285842838259737,3.083364913993636,40.0,-5.400577343602986,10
AXSUSDT,0.8462567575882537,-5.435982417318175,47.368421052631575,-29.42920787008381,19
BANDUSDT,2.313079601240729,48.100960955038595,54.54545454545454,-28.384237760320456,22
BATUSDT,1.7455910929615328,33.34196508958398,47.82608695652174,-17.19427106028896,23
BCHUSDT,0.523855641135623,-24.087725857471874,45.0,-38.59701935518603,20
BEAMXUSDT,2.857741155594509,38.42521578173523,70.0,-11.937212179419667,10
BELUSDT,1.3906057966031384,60.117159400521444,47.61904761904761,-39.67772109070342,21
BIGTIMEUSDT,6.30754662850419,52.27419366093595,63.63636363636363,-3.6973909518350356,11
BNBUSDT,0.9277733036749507,-2.63053020004822,53.57142857142857,-20.96723426229153,28
BNTUSDT,2.276108509157366,15.647933289527383,60.0,-5.957402797877469,10
BTCDOMUSDT,1.390235602783804,8.112789724361601,47.82608695652174,-7.1596982125615245,23
BTCUSDT,0.7972923727823947,-11.34676970310684,44.827586206896555,-27.041032572813943,29
C98USDT,1.7416485947859035,21.97222032791739,58.82352941176471,-16.606364879228945,17
CATIUSDT,2.446219948898352,23.43706320022838,45.45454545454545,-10.761489248783207,11
CELOUSDT,0.8380136351863747,-10.271514337644438,52.38095238095239,-37.21095231726236,21
CELRUSDT,2.0018664996775675,37.13099262938837,61.111111111111114,-19.469888999162748,18
CFXUSDT,0.7673503447893593,-7.766291196700026,54.54545454545454,-26.397312310083432,11
CHRUSDT,0.6553346561580485,-16.911623713485678,33.33333333333333,-39.40389689504919,18
CHZUSDT,1.9736991171077205,41.42866572034378,65.0,-17.757145262934017,20
CKBUSDT,2.3010626928071662,26.464623688852164,66.66666666666666,-16.187500213979266,12
COMPUSDT,1.2728937003213066,14.698357628861714,52.17391304347826,-27.627362327569173,23
COTIUSDT,0.577875559618058,-34.836614107665554,48.0,-49.38888788832026,25
CRVUSDT,0.6404906513432743,-24.098706283808202,33.33333333333333,-38.83959746871289,18
CTSIUSDT,1.3671953485592991,13.556759048457545,57.14285714285714,-22.131820222384572,21
DASHUSDT,0.33627554468037385,-36.681803590331164,39.130434782608695,-38.07181958108205,23
DENTUSDT,2.1050233658819,30.568907835684733,75.0,-18.631545886925792,20
DODOXUSDT,0.6979634507994509,-8.350046497783037,50.0,-14.694952496999553,10
DOGEUSDT,0.12507405298294305,-68.17467451012706,25.0,-68.53753849506465,28
DOTUSDT,0.41200203296175525,-46.4883140977658,44.827586206896555,-58.10188015025592,29
DUSKUSDT,0.2972108954590184,-62.881201113463135,33.33333333333333,-63.906506831293356,21
DYDXUSDT,1.6769077336390543,37.2215519299935,47.368421052631575,-21.05283387825003,19
EDUUSDT,0.9054524965074455,-2.5697470791136046,58.333333333333336,-13.301484374772524,12
EGLDUSDT,0.7548900082686042,-15.327066838922764,52.17391304347826,-43.07034319581294,23
ENJUSDT,1.2956892969145195,14.813028722854881,63.63636363636363,-25.780405151697792,22
ENSUSDT,0.8442943473911739,-13.919809590008681,45.0,-43.07425343490504,20
ETCUSDT,0.9087009752901181,-6.317415455930986,50.0,-24.6141036688878,24
