symbol,strategy,profit_factor,return,win_rate,mdd,trades,sharpe
0GUSDT,3_Momentum,0.8894640574745838,-11.133033421619999,39.130434782608695,-49.99885571617499,23,-0.07074687943265823
0GUSDT,4_Volatility,0.2587469169470225,-41.44692329861933,35.714285714285715,-42.39884298366686,14,-2.552837510635689
0GUSDT,9_EMASimple,1.3813893318287396,18.12063212935997,33.33333333333333,-21.442676583195123,18,0.0742829636418633
0GUSDT,10_BollingerMR,2.1366044422048747,35.519259272812256,69.23076923076923,-11.514770259330893,13,2.1209624520826837
1000000BOBUSDT,2_RSIMeanRev,1.351769126299051,13.891150476097614,73.33333333333333,-17.15000553909968,15,0.7319166677689416
1000000BOBUSDT,3_Momentum,1.197299679142487,26.058394012671894,44.44444444444444,-36.04929179723754,45,0.7985897119666053
1000000BOBUSDT,4_Volatility,1.0687456661916515,6.239619555615961,60.0,-33.9524143764283,30,0.4030077830219471
1000000BOBUSDT,6_BTCCorr,1.677711350889357,31.307440111294937,42.857142857142854,-25.245678048613506,14,1.187334234825835
1000000BOBUSDT,7_Ensemble,1.2338471496518806,16.467990821480626,62.5,-30.95878439819948,16,0.5473535008370735
1000000BOBUSDT,8_LongOnlyFear,0.7228216073596394,-11.636419339168825,36.36363636363637,-24.49396991798084,11,-0.39469080208406804
1000000BOBUSDT,9_EMASimple,1.104968720824,8.144059641434742,25.925925925925924,-23.513818119714276,27,-0.15442222644697493
1000000BOBUSDT,10_BollingerMR,1.1312439721341456,11.08042858449334,66.66666666666666,-27.90408256925256,36,0.5321709277263685
1000000MOGUSDT,1_MultiTF,1.3924176683820073,34.08073437239665,42.10526315789473,-39.566698257545426,19,0.3590163833267455
1000000MOGUSDT,2_RSIMeanRev,1.4853028213588022,34.07762866009425,68.96551724137932,-24.781475888146172,29,0.7551690285518327
1000000MOGUSDT,3_Momentum,1.119024404671129,81.04396462949157,40.229885057471265,-56.453398596159545,87,0.8005782455543393
1000000MOGUSDT,4_Volatility,0.9287042630656931,-22.761977118967735,50.68493150684932,-63.169644399848536,73,0.10019177024808452
1000000MOGUSDT,6_BTCCorr,0.8470508199295224,-24.05429892864267,30.64516129032258,-56.32512495194045,62,-0.01797612872721751
1000000MOGUSDT,7_Ensemble,1.1965960432980889,74.6712893397409,55.00000000000001,-63.549541990778735,40,0.7353784756307968
1000000MOGUSDT,9_EMASimple,0.7238372250785949,-69.76115790114576,24.418604651162788,-76.84068269889698,86,-0.6555017185997716
1000000MOGUSDT,10_BollingerMR,0.693485948506258,-70.22887773750894,62.5,-82.80577172548732,64,-0.35026157800184354
1000BONKUSDT,1_MultiTF,0.8929037898500979,-23.322632398411702,26.666666666666668,-58.28410000356982,45,0.07718867301752634
1000BONKUSDT,2_RSIMeanRev,0.6431381518453674,-41.35438311708358,58.730158730158735,-48.26075263718764,63,-0.5141898302729361
1000BONKUSDT,3_Momentum,1.1294467795201655,416.6691161670431,45.83333333333333,-56.29516609634603,168,1.0033611747326223
1000BONKUSDT,4_Volatility,0.3698898750474991,-101.24432853886076,49.35064935064935,-102.30232989338487,154,-0.5560122503627024
1000BONKUSDT,6_BTCCorr,1.080862686348149,36.08829705389309,40.0,-53.93866663072737,110,0.4017401404807019
1000BONKUSDT,7_Ensemble,1.0187382651620651,8.89676181972554,42.5287356321839,-61.37450553331119,87,0.42863536696003834
1000BONKUSDT,9_EMASimple,0.06226909776095508,-100.12029397040001,64.48598130841121,-101.97826539378137,107,-0.40121408474645154
1000BONKUSDT,10_BollingerMR,0.08114036517713467,-100.07233651796366,45.038167938931295,-106.49259838653774,131,-1.2889470332608879
1000CATUSDT,1_MultiTF,0.7116638111869802,-32.465972718998614,40.909090909090914,-55.10232868173417,22,-0.27269709737906206
1000CATUSDT,2_RSIMeanRev,0.8688206329001832,-8.10256207006914,53.125,-37.26272876362974,32,-0.06670732500612436
1000CATUSDT,3_Momentum,0.9737341928990016,-8.134177424577171,40.19607843137255,-58.19837973176077,102,0.2482487002764973
1000CATUSDT,4_Volatility,0.48138189497896405,-79.07060114999844,51.24999999999999,-79.07060114999844,80,-1.3231857254559032
1000CATUSDT,6_BTCCorr,0.680339100938726,-47.72674531363859,38.46153846153847,-67.56105351803306,52,-0.23851926715773195
1000CATUSDT,7_Ensemble,0.8416987848823907,-33.812083357748634,51.162790697674424,-66.46832321022819,43,0.023363231883352705
1000CATUSDT,9_EMASimple,0.9168700843399847,-18.033865625920832,33.33333333333333,-64.05793556719807,63,0.03755799129028039
1000CATUSDT,10_BollingerMR,0.7858310835711088,-41.41622272335342,58.75,-69.77232015399638,80,-0.19392001103362924
1000CHEEMSUSDT,1_MultiTF,0.3890104363103769,-60.77588518824746,11.11111111111111,-64.30665303432134,27,-1.065213277468964
1000CHEEMSUSDT,2_RSIMeanRev,0.8812342011584343,-5.641030315793538,42.857142857142854,-18.18959812722506,28,-0.1231051314105008
1000CHEEMSUSDT,3_Momentum,0.8342574786488006,-43.01730859627567,29.896907216494846,-55.5709165481827,97,-0.04023977370280268
1000CHEEMSUSDT,4_Volatility,0.7617927648847855,-31.840631319650125,54.285714285714285,-43.23003445527332,70,-0.3845552868832383
1000CHEEMSUSDT,6_BTCCorr,0.27595354679634865,-70.97040389823101,29.82456140350877,-75.81285648113327,57,-2.1462973975838864
1000CHEEMSUSDT,7_Ensemble,0.3573157202938924,-80.05696720527607,26.08695652173913,-81.54864713827106,46,-1.9003239398607357
1000CHEEMSUSDT,8_LongOnlyFear,0.9909281751069967,-0.7348196109211336,34.61538461538461,-32.05559531126557,26,0.1119012047436834
